"MPWR",
"APTV",
"EOG",
"NWS",
"NKE",
"QRVO",
"PGR",
"AXP",
"DOV",
"C",
"SEE",
"SWKS",
"MTCH",
"EIX",
"TDG",
"SYF",
"TER",
"RL",
"MCK",
"GOOGL",
"RHI",
"CB",
"MA",
"ZTS",
"ODFL",
"MPC",
"IP",
"SYY",
"IRM",
"FOXA",
"AMGN",
"AVY",
"BEN",
"AEP",
"LOW",
"BF.B",
"TROW",
"ILMN",
"PFE",
"KMI",
"CDNS",
"MMC",
"AMCR",
"WDC",
"WLTW",
"DGX",
"COP",
"A",
"RMD",
"AMD",
"USB",
"DHI",
"NFLX",
"ETSY",
"KHC",
"OTIS",
"LNT",
"FITB",
"EA",
"AJG",
"MKC",
"DE",
"CDAY",
"AMT",
"BIO",
"MRO",
"MHK",
"GWW",
"TECH",
"AOS",
"REGN",
"TMO",
"TSCO",
"ABT",
"EXPE",
"JKHY",
"WU",
"BA",
"GNRC",
"UAL",
"TRV",
"XYL",
"GPS",
"FTNT",
"CLX",
"DHR",
"HAL",
"CME",
"ICE",
"BDX",
"FBHS",
"VRTX",
"ADP",
"MAR",
"BLK",
"CTAS",
"RCL",
"ALB",
"GOOG",
"GE",
"BSX",
"ALK",
"APD",
"LEN",
"SJM",
"WFC",
"CMI",
"QCOM",
"DOW",
"NLSN",
"FB",
"AWK",
"SWK",
"CRM",
"ALL",
"NVR",
"VIAC",
"HON",
"REG",
"ESS",
"CZR",
"FDX",
"CL",
"KEYS",
"SNA",
"BBWI",
"IPGP",
"MCD",
"DISCA",
"LMT",
"ANTM",
"KSU",
"V",
"DVA",
"NEM",
"STT",
"CSX",
"DAL",
"CAG",
"CHD",
"DUK",
"ORLY",
"PAYC",
"JNJ",
"HBI",
"TSLA",
"CNP",
"VLO",
"NDAQ",
"HST",
"PYPL",
"HSIC",
"APA",
"NOW",
"MTB",
"TGT",
"CBOE",
"BMY",
"XRAY",
"MCHP",
"OGN",
"CCI",
"LIN",
"COST",
"HUM",
"CFG",
"HES",
"POOL",
"PCAR",
"FANG",
"MCO",
"FIS",
"BR",
"PWR",
"LW",
"DISCK",
"LYB",
"PFG",
"TXT",
"HRL",
"O",
"VRSN",
"CMG",
"NVDA",
"UNP",
"INTC",
"LHX",
"LRCX",
"ABC",
"AFL",
"BKNG",
"LNC",
"BWA",
"ALLE",
"GRMN",
"XEL",
"PKG",
"COF",
"ETR",
"YUM",
"ANET",
"TYL",
"EVRG",
"SIVB",
"UA",
"EMR",
"VZ",
"HII",
"MMM",
"UPS",
"GL",
"ADI",
"PEAK",
"CBRE",
"CVS",
"BLL",
"KEY",
"MTD",
"DG",
"MLM",
"SYK",
"HCA",
"APH",
"CHRW",
"J",
"EMN",
"CHTR",
"MET",
"PKI",
"T",
"DXCM",
"AVB",
"NRG",
"EFX",
"SRE",
"WRK",
"ACN",
"KIM",
"CDW",
"SPGI",
"EXR",
"CI",
"ADBE",
"GLW",
"BXP",
"AIG",
"GIS",
"UDR",
"CE",
"EXPD",
"VMC",
"DPZ",
"ROK",
"ATVI",
"ZION",
"DFS",
"TMUS",
"ROL",
"AMP",
"PRU",
"DD",
"FRC",
"AME",
"FLT",
"BRK.B",
"NTAP",
"MRNA",
"RF",
"TXN",
"XOM",
"GS",
"FFIV",
"WST",
"JNPR",
"RE",
"DXC",
"NUE",
"STZ",
"PPL",
"TFC",
"MO",
"PTC",
"PEP",
"FRT",
"KMX",
"OKE",
"PNC",
"ROP",
"ES",
"SLB",
"MSCI",
"UHS",
"TDY",
"FMC",
"PHM",
"MS",
"CNC",
"CTLT",
"HSY",
"PSX",
"RJF",
"IR",
"FE",
"SBUX",
"NXPI",
"WMB",
"FOX",
"KO",
"VTR",
"NTRS",
"BK",
"CTXS",
"HIG",
"IT",
"ETN",
"AAP",
"IBM",
"MKTX",
"ADSK",
"PM",
"NWSA",
"ITW",
"BIIB",
"WELL",
"CMA",
"AAL",
"SPG",
"LLY",
"PBCT",
"LUV",
"ZBRA",
"PG",
"CINF",
"BKR",
"FCX",
"DRI",
"UAA",
"LH",
"PNW",
"KMB",
"TJX",
"EL",
"DISH",
"UNH",
"CMS",
"RSG",
"CTVA",
"GPN",
"MDT",
"HAS",
"TRMB",
"PAYX",
"AAPL",
"WAB",
"CERN",
"HD",
"VTRS",
"ECL",
"DRE",
"TSN",
"ATO",
"TT",
"AMZN",
"IDXX",
"STE",
"WMT",
"TEL",
"PXD",
"FAST",
"L",
"NWL",
"JBHT",
"NOC",
"NSC",
"LYV",
"CF",
"WHR",
"BAC",
"CTSH",
"NEE",
"HPQ",
"ZBH",
"SCHW",
"DVN",
"ENPH",
"SBAC",
"MRK",
"HBAN",
"NI",
"TPR",
"PPG",
"GD",
"GPC",
"AIZ",
"PEG",
"SHW",
"MNST",
"MU",
"LVS",
"MSI",
"TTWO",
"ALGN",
"JCI",
"ANSS",
"BAX",
"CMCSA",
"LUMN",
"MOS",
"AON",
"ORCL",
"INCY",
"LEG",
"BBY",
"ISRG",
"WRB",
"RTX",
"OMC",
"ARE",
"BRO",
"URI",
"F",
"CPB",
"CAH",
"PSA",
